Country, Year, GDP (in billion USD), Inflation Rate (%), Unemployment Rate (%), Economic Growth (%)
USA,2010,15000,1.64,9.63,2.55
USA,2011,15500,3.16,8.94,1.53
USA,2012,16000,2.07,8.1,2.28
USA,2013,16500,1.5,7.7,1.84
USA,2014,17000,1.62,7.25,2.53
USA,2015,17500,0.12,5.32,3.08
USA,2016,18000,1.26,4.87,2.69
USA,2017,18500,2.13,4.3,2.81
USA,2018,19000,2.44,3.91,2.9
USA,2019,19500,1.81,3.7,2.33
USA,2020,20000,1.25,8.1,-3.42
USA,2021,20500,5.39,5.4,5.92
USA,2022,21000,8,5.6,2.51
USA,2023,21500,4.25,4.8,3.15
USA,2024,22000,3.9,4.5,2.9
USA,2025,22500,3.5,4.2,2.6
China,2010,6700,3.3,4.2,10.3
China,2011,7000,5.4,4.1,9.3
China,2012,7300,2.6,4.1,7.7
China,2013,7600,2.5,4,7.8
China,2014,7900,2.1,4.1,7.3
China,2015,8200,1.4,4.05,6.9
China,2016,8500,2,4,6.7
China,2017,8800,1.6,3.9,6.9
China,2018,9100,2.1,3.8,6.6
China,2019,9400,2.9,3.7,6.1
China,2020,9900,2.5,4.5,2.3
China,2021,10400,0.9,5,8.1
China,2022,10800,1.8,5.1,3.3
China,2023,11200,2.1,5.2,4.1
China,2024,11600,2.5,5.3,3.9
China,2025,12000,2.8,5.4,3.8
Japan,2010,5500,-0.72,5.1,4.2
Japan,2011,5600,0,4.7,-0.1
Japan,2012,5700,0.02,4.6,1.5
Japan,2013,5800,0.4,4.4,2
Japan,2014,5900,2.4,4.1,0.3
Japan,2015,6000,0.8,3.6,1.2
Japan,2016,6100,-0.5,3.3,1
Japan,2017,6200,0.6,3,1.8
Japan,2018,6300,0.9,2.4,0.8
Japan,2019,6400,0.4,2.4,1.1
Japan,2020,6500,0.2,2.8,-4.8
Japan,2021,6600,-0.1,2.6,2.7
Japan,2022,6700,0.5,2.4,1
Japan,2023,6800,1.1,2.3,1.5
Japan,2024,6900,1.2,2.2,1.8
Japan,2025,7000,1.5,2.1,1.6
Germany,2010,3300,1.1,6.8,4
Germany,2011,3400,2.3,6.5,3.6
Germany,2012,3500,2,6,3.4
Germany,2013,3600,1.4,5.8,3.5
Germany,2014,3700,0.9,5,3.6
Germany,2015,3800,0.3,4.7,3.7
Germany,2016,3900,0.5,4.5,3.6
Germany,2017,4000,1.8,4.3,2.6
Germany,2018,4100,1.9,3.9,2.5
Germany,2019,4200,1.4,3.6,2
Germany,2020,4300,0.6,4.2,-4.9
Germany,2021,4400,3.1,3.8,3.6
Germany,2022,4500,7.1,3.5,2.8
Germany,2023,4600,6.5,3.3,2.2
Germany,2024,4700,5.8,3.1,2.5
Germany,2025,4800,4.9,3,2.6
India,2010,1500,11.99,9.6,9.3
India,2011,1600,8.5,8.8,7.9
India,2012,1700,10.56,8.4,6.3
India,2013,1800,9.77,7.8,5.9
India,2014,1900,6.4,7.2,6.9
India,2015,2000,4.9,6.2,7.2
India,2016,2100,5,5.7,8
India,2017,2200,3.6,5.5,6.7
India,2018,2300,3.69,5,7.3
India,2019,2400,3.4,5.1,6.1
India,2020,2500,6.2,6.3,-7.3
India,2021,2600,5,6,8.4
India,2022,2700,6.3,5.8,7.1
India,2023,2800,5.5,5.5,6.9
India,2024,2900,5.3,5.4,6
India,2025,3000,5,5.2,6.2
UK,2010,2200,3.3,7.8,1.9
UK,2011,2300,4.5,8,1
UK,2012,2400,2.8,7.8,0.1
UK,2013,2500,2.6,7.4,1.9
UK,2014,2600,1.5,6,2.8
UK,2015,2700,0,5.4,3.1
UK,2016,2800,0.6,4.9,1.8
UK,2017,2900,2.7,4.4,1.8
UK,2018,3000,2.5,4,1.4
UK,2019,3100,1.8,3.8,1.3
UK,2020,3200,0.9,4.5,-9.8
UK,2021,3300,1.5,4.1,7.4
UK,2022,3400,5.4,3.7,4.1
UK,2023,3500,6,3.6,1.8
UK,2024,3600,3.9,3.5,2.2
UK,2025,3700,2.8,3.3,2.5
Canada,2010,1500,1.8,8,3.2
Canada,2011,1550,2.9,7.4,2.5
Canada,2012,1600,1.5,7.2,1.9
Canada,2013,1650,0.9,7.1,2
Canada,2014,1700,1.9,6.9,2.6
Canada,2015,1750,1.1,6.8,1.1
Canada,2016,1800,1.4,6.9,1.3
Canada,2017,1850,1.6,6.3,3
Canada,2018,1900,2.3,5.8,2
Canada,2019,1950,1.9,5.6,1.7
Canada,2020,2000,0.7,9.5,-5.3
Canada,2021,2050,3.4,8,4.6
Canada,2022,2100,6.8,6,3.2
Canada,2023,2150,5,5.9,1.8
Canada,2024,2200,3.2,5.6,2.2
Canada,2025,2250,2.8,5.4,2.5
Russia,2010,1500,8.8,7.5,4
Russia,2011,1600,6.1,6.1,4.3
Russia,2012,1700,6.6,5.4,3.4
Russia,2013,1750,6.8,5.2,1.8
Russia,2014,1800,15.5,5.6,0.5
Russia,2015,1700,12.9,5.6,-3.7
Russia,2016,1600,5.4,5.6,-0.2
Russia,2017,1650,3.7,5.2,1.5
Russia,2018,1700,2.9,4.8,2.3
Russia,2019,1750,4.3,4.5,1.3
Russia,2020,1800,3.4,6.2,-3.1
Russia,2021,1900,5.4,5.2,4.3
Russia,2022,2000,8,6.2,-2
Russia,2023,2100,7.5,5.9,-0.5
Russia,2024,2200,5.6,5.7,1.1
Russia,2025,2300,4.8,5.5,1.7
